Coordinates,Zip_codes
"50.127054, 8.671061",60323
"50.101643205255, 8.6283606290817",60326
"50.11698021890571, 8.629106283187866",60486
"50.11296926256029, 8.676618933677673",60311
"50.105345455453, 8.6780083179474",60594
"50.125764621698885, 8.679596185684204",60322
"50.11483718540421, 8.672574162483215",60322
"50.123068249784005, 8.6926800012589",60316
"50.108579529067, 8.6695110797882",60329
"50.1114521666287, 8.70956182479858",60314
"50.120020000000004, 8.651480000000001",60325
"50.101364492683004, 8.6634171009064",60327
"50.120320132839005, 8.6514973640442",60325
"50.120031210253, 8.6502689123154",60325
"50.112704376258, 8.7070995569229",60314
"50.112611493701, 8.6671507358551",60329
"50.108823795970004, 8.654919862747201",60327
"50.10711046099416, 8.689225316047668",60594
"50.104409597669, 8.690094351768499",60594
"50.13743912209768, 8.66723120212555",60320
"50.117485864509, 8.6790490150452",60322
"50.111452166629, 8.7095618247986",60314
"50.114173272740004, 8.6696773767471",60325
"50.122002040414, 8.686071038246201",60318
"50.136094722401, 8.664135932922362",60320
"50.11601018994149, 8.695517778396606",60316
"50.123838657259, 8.6362195014954",60486
"50.11941208455454, 8.643600940704347",60486
"50.11553548775456, 8.698784708976746",60316
"50.110791647259, 8.6818331480026",60311
"50.128557132484424, 8.66847574710846",60323
"50.123591027637254, 8.717281222343445",60385
"50.10608174247442, 8.720848560333254",63067
"50.131438887798296, 8.692572712898254",60318
"50.1188671, 8.6888937",60316
"50.107625, 8.664126",60329
"50.101915034473, 8.6811143159866",60594
"50.11296926255999, 8.6766189336777",60311
"50.11687, 8.64927",60325
"50.128701568266, 8.6458057165146",60487
"50.11416639276822, 8.669672012329103",60325
"50.11435215167, 8.6499577760696",60486
"50.091680804728576, 8.653256893157959",60528
"50.107110460993994, 8.6892253160477",60594
"50.125764621699, 8.6795961856842",60322
"50.118108454822, 8.6563575267792",60325
"50.123591027637, 8.7172812223434",60385
"50.119412084554995, 8.6436009407043",60486
"50.104099934817, 8.6648279428482",60329
"50.104099934817114, 8.664827942848206",60329
"50.09118176991603, 8.686081767082214",60598
"50.120891093774006, 8.6754709482193",60322
"50.10015327847279, 8.668330907821653",60596
"50.099554541955996, 8.6850410699844",60594
"50.12677, 8.67353",60322
"50.11359191160465, 8.696338534355164",60316
"50.12983640566527, 8.666442632675171",60323
"50.1017481, 8.553436999999999",65929
"50.10643267903401, 8.695485591888401",60594
"50.086094759988, 8.649362325668301",60528
"50.11555555555557, 8.6825",60313
"50.135929678402995, 8.6668235063553",60320
"50.141760887693, 8.6840057373047",60320
"50.091181769916, 8.6860817670822",60598
"50.110389138801004, 8.7010860443115",60314
"50.107547401640005, 8.703323006629901",60594
"50.10933984871068, 8.696596026420593",60314
"50.13134260283348, 8.70542049407959",60389
"50.097376316673724, 8.66496205329895",60596
"50.128557132484, 8.6684757471085",60323
"50.104963545109996, 8.6667859554291",60329
"50.133539915041645, 8.668127059936522",60320
"50.112597733307, 8.6528170108795",60308
"50.131438887798005, 8.6925727128983",60318
"50.137439122097994, 8.6672312021255",60320
"50.10472222222222, 8.661944444444442",60329
