Coordinates,Zip_codes
"50.10803918, 8.662165517",60329
"50.10453875, 8.66100525",60329
"50.11040429999999, 8.651565199999999",60327
"50.11477395, 8.686037733",60313
"50.10954752, 8.672922617000001",60329
"50.114326399999996, 8.6818546",60313
"50.136785499999995, 8.6462665",60431
"50.097716600000005, 8.6469255",60327
"50.129873700000005, 8.7110151",60385
"50.11431668, 8.64403325",60486
"50.1083169, 8.668133599999999",60329
"50.1201516, 8.6833003",60318
"50.10836543, 8.662315217",60329
"50.10563723, 8.7169389",60599
"50.15771102, 8.63151855",60439
"50.1129291, 8.7019093",60314
"50.12253248, 8.646601582999999",60487
"50.1081451, 8.662904800000002",60329
"50.109793200000006, 8.6538147",60327
"50.107887299999994, 8.6901119",60594
"50.11991182, 8.726283483",60385
"50.10331773, 8.644615467000001",60326
"50.1092614, 8.6718461",60329
"50.10243822, 8.657178300000002",60327
"50.09814975, 8.648261317000001",60327
"50.10977132, 8.700174633",60314
"50.11680128, 8.696059083",60316
"50.1320667, 8.6915183",60318
"50.14053823, 8.679801483",60320
"50.105787799999995, 8.764676983",63065
"50.11124313, 8.71062945",60314
"50.127755799999996, 8.708325717000001",60385
"50.10779498, 8.667052833",60329
"50.10548358, 8.6773261",60596
"50.11245312, 8.705635267",60314
"50.1317624, 8.6725532",60322
"50.1275365, 8.6404135",60487
"50.11892425, 8.6594207",60325
"50.11207247, 8.657147267000001",60325
"50.10849032, 8.663561167000001",60329
"50.11104975, 8.684949332999999",60311
"50.10580137, 8.663354867",60329
"50.1111888, 8.679615083",60311
"50.1106197, 8.685254367",60311
"50.13344463, 8.671497683",60320
"50.09571187, 8.69084375",60598
"50.11974993, 8.670784433",60323
"50.11814395, 8.635082083",60486
"50.11025617, 8.735841283",63067
"50.11001228, 8.656021717",60327
"50.12619338, 8.66223595",60323
"50.11433058, 8.71939245",60314
"50.11005277, 8.69294095",60311
"50.117975799999996, 8.6294115",60486
"50.12098972, 8.673711517000001",60322
"50.11504792, 8.684081082999999",60313
"50.10809517, 8.73229495",63067
"50.12267357, 8.645651117",60487
"50.1066964, 8.7013676",60594
"50.0829852, 8.627877499999999",60528
"50.10748912, 8.665610617",60329
"50.110052100000004, 8.653539617",60327
"50.1086782, 8.663533099999999",60329
"50.12047272, 8.667731517",60323
"50.1082467, 8.7317278",63067
"50.100416700000004, 8.685701400000001",60594
"50.11433417, 8.677065417",60313
"50.132785999999996, 8.6790747",60322
"50.12430453, 8.712763783",60385
"50.11192885, 8.74096215",63067
"50.0915974, 8.679864967",60598
"50.12978193, 8.713636467",60385
"50.13100902, 8.645425117",60487
"50.1059995, 8.700094",60594
"50.12288332, 8.691331233",60316
"50.1222686, 8.683282199999999",60318
"50.11230820000001, 8.7052621",60314
"50.11380148, 8.658170017",60325
"50.1047645, 8.675560699999998",60596
"50.1040764, 8.646462099999999",60327
"50.1106164, 8.665207317",60329
"50.10758505, 8.684163267",60594
"50.1212401, 8.6673482",60323
"50.11142632, 8.659686433",60325
"50.0947085, 8.6537256",60528
"50.11226442, 8.705538333",60314
"50.1128792, 8.6518865",60308
"50.05419929999999, 8.519292167",65451
"50.1117834, 8.7048179",60314
"50.10851465, 8.668390582999999",60329
"50.13057273, 8.6451502",60487
"50.1140505, 8.673117217",60313
"50.106048, 8.6650315",60329
"50.1267001, 8.69399315",60316
"50.10819085, 8.662170699999999",60329
"50.109345399999995, 8.669478683",60329
"50.13026663, 8.64564595",60487
"50.1198048, 8.6687448",60323
"50.1075345, 8.673570199999999",60329
"50.11439293, 8.68140785",60313
"50.09802379999999, 8.660177099999999",60596
"50.10893985, 8.681018032999999",60311
"50.11958605, 8.695136567",60316
"50.07736437, 8.628144367",60528
"50.11976648, 8.670408317",60323
"50.1102868, 8.6514472",60327
"50.1292812, 8.665645917",60323
"50.129531799999995, 8.6927159",60318
"50.13020427, 8.64541545",60487
"50.11396047, 8.719792782999999",60314
"50.13202585, 8.682900683",60322
"50.12394092, 8.641081032999999",60487
"50.10420302, 8.646039883",60327
"50.11778958, 8.679644782999999",60318
"50.11531970000001, 8.674878467000001",60313
"50.1436189, 8.691931199999999",60435
"50.0959677, 8.666389500000001",60596
"50.0993753, 8.659162400000001",60327
"50.1065236, 8.6979644",60594
"50.11042929999999, 8.6830047",60311
"50.1102795, 8.684728100000001",60311
"50.1078716, 8.6703399",60329
"50.11784928, 8.626559317",60486
"50.11438655, 8.676613133",60313
"50.11384163, 8.71929485",60314
"50.11560143, 8.681665800000001",60313
"50.10271227, 8.658968167000001",60327
"50.12988245, 8.69134895",60318
"50.11380017, 8.670602767",60329
"50.1071524, 8.6826133",60594
"50.1140571, 8.6719764",60313
"50.12842020000001, 8.646486099999999",60487
"50.13223970000001, 8.717078567",60385
"50.0839941, 8.5811082",60529
"50.10713543, 8.66648175",60329
"50.10213220000001, 8.6296837",60326
"50.12018068, 8.653580767000001",60325
"50.109733500000004, 8.674973699999999",60311
"50.1075667, 8.6653939",60329
"49.990762200000006, 8.412516",65428
"50.11582843, 8.664858017",60325
"50.113456, 8.6806709",60313
"50.15492858, 8.66394955",60433
"50.11425932, 8.676664617",60313
"50.10756668, 8.665297917",60329
"50.127621000000005, 8.6663692",60323
"50.11829005, 8.7217023",60314
"50.10386763, 8.679446233",60594
"50.1115737, 8.6815492",60311
"50.16129417, 8.660979633",60433
"50.10840220000001, 8.6898198",60594
"50.1039261, 8.6180422",60326
"50.09069437, 8.676684917000001",60598
"50.14637162, 8.649372283",60431
"50.1103807, 8.676701699999999",60311
"50.13030415, 8.645318267",60487
"50.107692, 8.658786599999999",60327
"50.10536762, 8.676902567",60596
"50.10790458, 8.624477083",60486
"50.1146217, 8.6919088",60313
"49.985036, 8.4087914",65428
"50.1114162, 8.739252699999998",63067
"50.11171857, 8.669437483",60329
"50.08901067, 8.7450989",63069
"50.11719285, 8.67055315",60322
"50.1273071, 8.6660355",60323
"50.11330707, 8.667032983",60325
"50.11015353375, 8.687424014625",60311
"50.121173600000006, 8.680186832999999",60318
"50.11876215, 8.637022733",60486
"50.1090499, 8.6626004",60329
"50.109094299999995, 8.668487117",60329
"50.12365573, 8.64086435",60487
"50.114575, 8.6842565",60313
"50.11398752, 8.674756867000001",60313
"50.10759322, 8.665208667",60329
"50.098676399999995, 8.6635589",60596
"50.11137072, 8.712575617",60314
"50.11425548, 8.671573633",60311
"50.10087292, 8.6561284",60327
"50.1128277, 8.681662",60311
"50.10721368, 8.670819267",60329
"50.1072537, 8.6983924",60594
"50.08383475, 8.644475133",60528
"50.09944833, 8.653418783",60327
"50.11013225, 8.687518933",60311
"50.1285411, 8.6677509",60323
"50.12686505, 8.688136683",60318
"50.112854999999996, 8.685979099999999",60311
"50.10835488, 8.664580117",60329
"50.0991742, 8.6799701",60596
"50.1302849, 8.627924400000001",60488
"50.1204659, 8.679948800000002",60318
"50.1072378, 8.6733222",60329
"50.108423200000004, 8.6633121",60329
"50.1084083, 8.681645800000002",60311
"50.10954605, 8.661132683",60329
"50.1143495, 8.6561403",60325
"50.09873178, 8.669321067",60596
"50.13189857, 8.673040767",60322
"50.1200141, 8.6862309",60318
"50.11018868, 8.6849743",60311
"50.1152625, 8.693861300000002",60313
"50.10837120000001, 8.6818683",60311
"50.1055240375, 8.692201702124999",60594
"50.10798158, 8.7025959",60314
"50.11430802, 8.681579317",60313
"50.111146600000005, 8.6632005",60325
"50.11906698, 8.699268567",60316
"50.13779152, 8.715177483",60389
"50.114117900000004, 8.673220800000001",60313
"50.11280693, 8.653940400000002",60325
"50.13180718, 8.691677233",60318
"50.10117715, 8.624789517",60326
"50.1276078, 8.6159491",60489
"50.12381082, 8.703205383",60385
"50.09078173, 8.676613233",60598
"50.15136493, 8.641721867000001",60439
"50.12234992, 8.688034017",60318
"50.11213712, 8.669250717",60329
"50.10978837, 8.678497199999999",60311
"50.1079742, 8.6617423",60329
"50.15326248, 8.65517575",60431
"50.110203999999996, 8.6738789",60311
"50.10425238, 8.673999333",60596
"50.10899302, 8.661492033",60329
"50.13043975, 8.645388083",60487
"50.12385853, 8.691998117",60316
"50.11182832, 8.65999535",60325
"50.11203207, 8.70457165",60314
"50.10174779999999, 8.554478699999999",65929
"50.09266847, 8.652772",60528
"50.12440915, 8.648755883",60487
"50.128673799999994, 8.711165300000001",60385
"50.1017176, 8.554469500000002",65929
"50.1076015, 8.66525785",60329
"49.98385335, 8.42404005",65428
"50.13805125, 8.717295632999999",60389
"50.11662855, 8.67300475",60322
"50.11067272, 8.672595717",60310
"50.1314961, 8.6705299",60323
"50.110163899999996, 8.6538041",60327
"50.1032758, 8.6446317",60326
"50.142705799999995, 8.6838099",60435
"50.108042, 8.7123459",60314
"50.107234000000005, 8.6873141",60594
"50.12241547, 8.646284482999999",60487
"50.128279299999996, 8.6465695",60487
"50.1142539, 8.681467699999999",60313
"50.10162443, 8.664290583",60327
"50.10791063, 8.697395617",60314
"50.11273298, 8.708360317",60314
"50.11208052, 8.67688255",60311
"50.11475357, 8.6749741",60313
"50.11055925, 8.664544300000001",60329
"50.12778348, 8.6413264",60487
"50.11257798, 8.6774413",60311
"50.11547120000001, 8.6654056",60325
"50.100443, 8.685837199999998",60594
"50.11303728, 8.654257933",60325
"50.1123874, 8.7536396",63067
"50.11189232, 8.667985667",60329
"50.11027045, 8.678004317000001",60311
"50.12112477, 8.680079532999999",60318
"50.11207017, 8.681395717000001",60311
"50.11380379999999, 8.6789551",60313
"51.452566600000004, -3.187019",CF
"50.119683200000004, 8.6782613",60322
"50.09076365, 8.676725717",60598
"50.10670122, 8.682031132999999",60594
"50.128845299999995, 8.6927473",60318
"50.12124982, 8.670899917",60322
"50.11677878, 8.679206367",60313
"50.1045951, 8.6631149",60329
"50.117165, 8.679868199999998",60313
"50.1185268, 8.655245599999999",60325
"50.1129138, 8.684048167",60311
"50.10415587, 8.635591667",60326
"50.122076799999995, 8.672220800000002",60322
"50.1154552, 8.672156900000001",60322
"50.0903391, 8.5904879",65933
"50.1084261, 8.682003",60311
"50.1304679, 8.64534515",60487
"50.1034297, 8.673105699999999",60596
"50.12485855, 8.639122317",60487
"50.12123187, 8.67121685",60322
"50.12913052, 8.665772683",60323
"50.107242, 8.7516645",63067
"50.13781822, 8.662939",60431
"50.1024125, 8.6803023",60594
"50.1203899, 8.6569195",60325
"50.1101623, 8.685222999999999",60311
"50.09234992, 8.650727417",60528
"50.02066837, 8.623537467",63225
"50.112393, 8.753569500000001",63067
"50.12134273, 8.67083485",60322
"50.11133529999999, 8.6544952",60325
"50.12229062, 8.667947932999999",60323
"50.1082635, 8.690206800000002",60594
"50.114613500000004, 8.6838032",60313
"50.0907052, 8.676688417000001",60598
"50.122508200000006, 8.6463507",60487
"50.11907718, 8.665340132999999",60323
"50.112438299999994, 8.6774594",60311
"50.10152797, 8.664106233",60327
"50.108850399999994, 8.69143",60594
"50.1068388, 8.6947939",60594
"50.119308000000004, 8.693337300000001",60316
"50.109372799999996, 8.6940193",60314
"50.10322615, 8.663672967",60329
"50.10921088, 8.6697612",60329
"50.1252779, 8.7107967",60385
"50.1016685, 8.554463900000002",65929
"50.11813778, 8.688670883",60313
"50.117378, 8.735566882999999",60314
"50.107367100000005, 8.7512649",63067
"50.0913044, 8.6612241",60528
"50.1130005, 8.681187",60311
"50.10867302, 8.668255967",60329
"50.11373953, 8.659799117",60325
"50.119956, 8.726293567",60385
"50.11779677, 8.635903933",60486
"50.09359942, 8.671566582999999",60596
"50.13026583, 8.645363383",60487
"50.10913543, 8.67315045",60329
"50.11468452, 8.635672767",60486
"50.1117071, 8.712207300000001",60314
"50.1083035, 8.682139",60311
"50.11752765, 8.676016882999999",60322
"50.114441799999994, 8.657161917",60325
"50.1365441, 8.671242",60320
"50.0974784, 8.763815067000001",63069
"49.98382255, 8.424014767000001",65428
"50.12895825, 8.665351333",60323
"50.1290414, 8.6289021",60488
"50.1103162, 8.682835899999999",60311
"50.1101174, 8.6879533",60311
"50.10699497, 8.665529532999999",60329
"50.11440847, 8.676156717000001",60313
"50.10486712, 8.682256767",60594
"50.11040933, 8.672353317",60310
"50.1204074, 8.7091186",60385
"50.115188700000004, 8.678683300000001",60313
"50.131856899999995, 8.6829031",60322
"50.110434999999995, 8.6662366",60329
"50.1071207, 8.6822536",60594
"50.1290811, 8.6915868",60318
"50.129079299999994, 8.691483400000001",60318
"50.1214295, 8.670874000000001",60322
"50.11361823, 8.676377683",60313
"50.120138399999995, 8.7055657",60385
"50.1168495, 8.666876",60323
"50.11506137, 8.678270833",60313
"50.11959583, 8.668865717000001",60323
"50.109906099999996, 8.65604415",60327
"50.11580867, 8.665016417",60325
"50.1093131, 8.685701400000001",60311
"50.12753508, 8.685386883",60318
"50.08067123, 8.217979717",65197
"50.11147358, 8.659580932999999",60325
"50.1220393, 8.6806216",60318
"50.10358312, 8.673034017",60596
"50.1159724, 8.6748043",60313
"50.11785475, 8.671589917",60323
"50.12483575, 8.694747133",60316
"50.13205415, 8.672895967",60322
"50.11506257, 8.656060400000001",60325
"50.123312899999995, 8.702044599999999",60385
"50.09075612, 8.676668832999999",60598
"50.127945600000004, 8.625740067",60487
"50.1074076, 8.699077",60594
"50.1138658, 8.659951133",60325
"50.10764268, 8.654286099999998",60327
"50.1217872, 8.6528342",60487
"50.1077683, 8.6757226",60311
"50.12540098, 8.665611300000002",60323
"50.1139523, 8.7192201",60314
"50.112644700000004, 8.7038373",60314
"50.1255158, 8.611615800000001",60489
"50.11427252, 8.64396375",60486
"50.12120568, 8.70757735",60385
"50.10940757, 8.537170417",65929
"50.1291991, 8.6465189",60487
"50.11670498, 8.6789379",60313
"50.12101805, 8.651119099999999",60487
"50.10169723, 8.700461567",60599
"50.1093052, 8.6874162",60311
"50.125225, 8.6645542",60323
"50.11447895, 8.683033517",60313
"50.11262687, 8.684165233",60311
"50.10957513, 8.656541033",60327
"50.11352732, 8.700528333",60316
"50.108117299999996, 8.67929515",60596
"50.12384043, 8.641288467",60487
"50.0886982, 8.635738400000001",60528
"50.13530647, 8.68349645",60320
"50.11509152, 8.652570467",60325
"50.13637032, 8.675158383",60320
"50.12247413, 8.702329567",60385
"50.10510548, 8.6493078",60327
"50.09769707, 8.647179167",60327
"50.11564545, 8.671967617",60313
"50.12318212, 8.691739717",60316
"50.12628737, 8.707975933",60385
"50.1238311, 8.6706766",60322
"50.113784, 8.679147",60313
"50.11376432, 8.6752595",60313
"50.09083073, 8.6765966",60598
"50.11059318, 8.675577067",60311
"50.1058365, 8.6860709",60594
"50.11256693, 8.75489725",63067
"50.12089948, 8.6374886",60487
"50.1067697, 8.6947913",60594
"50.100757200000004, 8.6815523",60594
"50.06198133, 8.53057455",65451
"50.1170693, 8.647189082999999",60486
"50.11425267, 8.70275295",60316
"50.11385475, 8.643981517",60486
"50.1081227, 8.68241",60311
"50.13230643, 8.69167045",60318
"50.1024497, 8.6891698",60594
"50.0791277, 8.642437300000001",60528
"50.105948600000005, 8.6657445",60329
"50.130017200000005, 8.683974099999999",60322
"50.1313039, 8.716814900000001",60385
"50.12121633, 8.666243717",60323
"50.14225885, 8.693011917",60435
"50.112129700000004, 8.751462",63067
"50.13020507, 8.622556982999999",60488
"50.11492397, 8.689038033",60313
"50.11290102, 8.699919433",60314
"50.13179942, 8.702931867",60389
"50.1147759, 8.6793769",60313
"50.1130819, 8.6684683",60329
"50.1159946, 8.63332695",60486
"50.80333423, 8.764003267",35037
"50.1044249, 8.6936427",60594
"50.131728700000004, 8.668490817",60320
"50.11243218, 8.67578125",60311
"50.11999617, 8.726289",60385
"50.1083571, 8.6821337",60311
"50.1090104, 8.648911383",60327
"50.12212087, 8.699699983",60316
"50.11608388, 8.69667555",60316
"50.11405487, 8.644275217",60486
"50.13233365, 8.749383317000001",60386
"50.12334747, 8.587000417",65936
"50.1041495, 8.692763367000001",60594
"50.100677600000004, 8.6816483",60594
"50.13176602, 8.668688817",60320
"50.10225968, 8.671188883",60596
"50.129118299999995, 8.6915198",60318
"50.08106592, 8.6512679",60528
"50.09111398, 8.763875933",63069
"50.128192799999994, 8.690589067000001",60318
"50.10766448, 8.664185632999999",60329
"50.09310765, 8.680207967000001",60598
"50.10709535, 8.6818771",60594
"50.11181989999999, 8.666609517000001",60329
"50.13038095, 8.622441882999999",60488
"50.1129284, 8.687743417",60311
"50.10455562, 8.687192533",60594
"50.10292325, 8.67803155",60596
"50.11098245, 8.662438667",60325
"50.11268557, 8.6841055",60311
"50.10514905, 8.649941983",60327
"50.11322448, 8.68618165",60311
"50.12055025, 8.667560117",60323
"50.12604438, 8.797931117000001",63075
"50.12598578, 8.674221382999999",60322
"50.1051469, 8.6755505",60596
"50.13709885, 8.667587033",60320
"50.0988442, 8.683212199999998",60594
"50.1034188, 8.644952900000002",60327
"50.10558808, 8.661952183",60329
"50.1017145, 8.5544214",65929
"50.11786347, 8.663536033",60325
"50.1084532, 8.690185099999999",60594
"50.11771507, 8.647185867000001",60486
"50.08490928, 8.63270945",60528
"50.0990437, 8.68766265",60598
"50.1035205, 8.6733666",60596
"50.11532677, 8.690301199999999",60313
"50.09486787, 8.67370165",60596
"50.08034662, 8.63202475",60528
"50.17044607, 8.67647795",60433
"50.11741332, 8.73581135",60314
"50.1237494, 8.6813095",60318
"50.10823758, 8.664238167",60329
"50.12432848, 8.648815417",60487
"50.11275713, 8.681938283",60313
"50.12520322, 8.637431617",60487
"50.12248492, 8.682803967",60318
"50.12135223, 8.671498782999999",60322
"50.11340845, 8.7179531",60314
"50.12310165, 8.692649417",60316
"50.10987505, 8.668384317000001",60329
"50.1028729, 8.660067800000002",60327
"50.13203920000001, 8.7455125",60386
"50.1006215, 8.68142925",60594
"50.11040293, 8.68580235",60311
"50.08639472, 8.64133165",60528
"50.1102199, 8.6689942",60329
"49.983728899999996, 8.4238197",65428
"50.10073928, 8.681558117",60594
"50.10307957, 8.542648932999999",65929
"50.115320600000004, 8.665132199999999",60325
"50.1483602, 8.6579314",60431
"50.1155641, 8.670100099999999",60325
"50.13207443, 8.682836283",60322
"50.1396202, 8.6987487",60389
"50.11224238, 8.689422667",60311
"50.11812162, 8.6471661",60486
"50.10893660000001, 8.661743199999998",60329
"50.131514700000004, 8.670656800000001",60323
"50.12119692, 8.697502183",60316
"50.1065575, 8.5432689",65929
"50.11402735, 8.719636999999999",60314
"50.11974515, 8.694399783",60316
"50.1014726, 8.683506800000002",60594
"50.10344805, 8.64447775",60326
"50.11417288, 8.676718367000001",60313
"50.1310421, 8.627809800000001",60488
"50.10707312, 8.640131183",60326
"50.1117249, 8.6776495",60311
"50.09872708, 8.765941533",63071
"50.12022713, 8.693070817",60316
"50.129124, 8.691512083",60318
"50.13453828, 8.653867983",60431
"50.10609592, 8.67214425",60329
"50.11648578, 8.684746933",60313
"50.1314307, 8.667609599999999",60323
"50.11237322, 8.685495583",60311
"50.10556948, 8.66426665",60329
"50.1074616, 8.6943873",60594
"50.11589173, 8.684696083",60313
"50.12247192, 8.6462972",60487
"50.108332700000005, 8.6902118",60594
"50.10733320000001, 8.6881468",60594
"50.1058685, 8.6648683",60329
"50.1153052, 8.6712366",60322
"50.11248638, 8.685481333",60311
"50.13277212, 8.68364515",60320
"50.10305183, 8.67982205",60594
"50.1405136, 8.679708867",60320
"50.107771899999996, 8.6659451",60329
"50.14776102, 8.666783617",60433
"50.100489200000005, 8.6866788",60594
"50.10596937, 8.686254883",60594
"50.10968535, 8.669289817000001",60329
"50.12972035, 8.713654867",60385
"50.11371458, 8.677977217",60313
"50.14315027, 8.683677083",60435
"50.11364048, 8.67955205",60313
"50.12327212, 8.669972567",60323
"50.101682399999994, 8.6640993",60329
"50.11000255, 8.6876511",60311
"50.1290419, 8.6289597",60488
"50.12143488, 8.67090235",60322
"50.1088652, 8.6658998",60329
"50.12837012, 8.694201017000001",60389
"50.12076218, 8.670655317000001",60323
"50.105736, 8.6647065",60329
"50.11520103, 8.692874967",60313
"50.11568615, 8.680098883",60313
"50.10769722, 8.741431217",63067
"50.11778525, 8.636230117",60486
"50.10734229999999, 8.698545900000001",60594
"50.112896299999996, 8.672408099999998",60311
"50.117716200000004, 8.6834325",60313
"50.1055617, 8.663694300000001",60329
"50.10582479999999, 8.7477891",63067
"50.11723228, 8.670429483",60322
"50.0866348, 8.643509332999999",60528
"50.08871223, 8.646381",60528
"50.111768299999994, 8.6795111",60311
"50.1286732, 8.711110000000001",60385
"50.12460922, 8.691545032999999",60318
"50.105128, 8.6959267",60594
"50.12462487, 8.650105",60487
"50.11165555, 8.65295315",60327
"50.1193884, 8.6487676",60486
"50.12332887, 8.648103667",60487
"50.08190903, 8.633122467",60528
"50.11333645, 8.65022265",60308
"50.1005135, 8.6562604",60327
"50.09784987, 8.656183917",60327
"50.1043891, 8.6786244",60594
"50.10966943, 8.66865325",60329
"50.12131882, 8.671832933",60322
"50.12222817, 8.668124383",60323
"50.1141245, 8.6838919",60313
"50.10149785, 8.631836733",60326
"50.118063899999996, 8.6463035",60486
"50.10482867, 8.637536633",60326
"50.11626172, 8.676887800000001",60313
"50.12866068, 8.687650433",60318
"50.06809073, 8.634038067",60528
"50.11964213, 8.654171482999999",60325
"50.1168694, 8.679994500000001",60313
"50.13158713, 8.673138267",60322
"50.10556737, 8.689320117000001",60594
"50.12705265, 8.703280233",60389
"50.113664087188, 8.6279139794218",60486
"50.1047427, 8.68224255",60594
"50.11797338, 8.669291233",60323
"50.14045983, 8.6616913",60431
"50.10905275, 8.670989633",60329
"50.1207676, 8.691593",60316
"50.10193452, 8.642391733",60326
"50.11459255, 8.645119682999999",60486
"50.136571200000006, 8.675034217",60320
"50.128394899999996, 8.6464851",60487
"50.1067652, 8.694792999999999",60594
"50.12043107, 8.690574417",60316
"50.1058605, 8.7479097",63067
"50.08658915, 8.643501183",60528
"50.10063138, 8.6921481",60599
"50.11962808, 8.645535717000001",60486
"50.11552763, 8.665407783",60325
"50.11080478, 8.671955517",60329
"50.113585, 8.6794168",60313
"50.100929, 8.657943917",60327
"50.1258469, 8.715912699999999",60385
"50.1076854, 8.6657517",60329
"50.11373262, 8.673804817",60313
"50.12038808, 8.646088767",60486
"50.1016867, 8.5544834",65929
"50.12884002, 8.692600133",60318
"50.11527827, 8.704926667",60316
"50.1084958, 8.6814591",60311
"50.1012936, 8.632160333",60326
"50.13734113, 8.679418767",60320
"50.12412945, 8.606908883",60489
"50.1156825, 8.677133433",60313
"50.116799900000004, 8.69585485",60316
"50.09868773, 8.6876392",60598
"50.1154515, 8.6742096",60313
"50.11047447, 8.651865283",60327
"50.1119732, 8.666500599999999",60325
"50.10675117, 8.6734115",60329
"50.09010532, 8.677078782999999",60598
"50.13208793, 8.651086517000001",60487
"50.11815412, 8.6792449",60322
"50.1017903, 8.6664586",60596
"50.10477065, 8.668073699999999",60329
"50.1160487, 8.667645183",60325
"50.1170921, 8.679784",60313
"50.1008992, 8.664374699999998",60327
"50.123155499999996, 8.68796915",60318
"50.12525715, 8.6381624",60487
"50.09911043, 8.687512683",60598
"50.106386900000004, 8.7007606",60594
"50.098565, 8.733620132999999",60599
"50.1136441, 8.7152977",60314
"50.1287277, 8.666155400000001",60323
"50.1213524, 8.650271383",60487
"50.10794437, 8.6565429",60327
"50.07477832, 8.648218133",60528
"50.11385795, 8.67885625",60313
"50.112605, 8.7004706",60314
"50.118272999999995, 8.6814765",60313
"50.1034115, 8.6449104",60327
"50.13811382, 8.662240967",60431
"50.114729700000005, 8.648863683",60486
"50.10857115, 8.651558233",60327
"50.10188763, 8.631491233",60326
"50.1111571, 8.6864825",60311
"50.15650615, 8.648525667000001",60439
"50.10764520000001, 8.7027803",60314
"50.13608503, 8.675213532999999",60320
"50.1254609, 8.6417051",60487
"50.11738823, 8.65316095",60325
"50.1067909, 8.6373901",60326
"50.11398025, 8.719121783",60314
"50.0906969, 8.676718232999999",60598
"50.11047657, 8.67202485",60329
"50.11120072, 8.710552817",60314
"50.11764753, 8.735953033",60314
"50.11306912, 8.686058500000001",60311
"50.109500700000005, 8.654784300000001",60327
"50.11132748, 8.675802317",60311
"50.12046095, 8.704986383",60385
"50.1057383, 8.664736999999999",60329
"50.1085098, 8.681375300000001",60311
"50.1211456, 8.67178845",60322
"50.170725700000006, 8.636369699999998",60439
"50.124033700000005, 8.692585317",60316
"50.12910382, 8.66593015",60323
"50.1061471, 8.6742896",60596
"50.108399600000006, 8.6628127",60329
"50.10236192, 8.633798467",60326
"50.107433799999995, 8.6473478",60327
"50.103538799999995, 8.6734758",60596
"50.10918652, 8.659689717000001",60327
"50.09486508, 8.673724517",60596
"50.106435999999995, 8.755849167000001",63067
"50.1137119, 8.694511633",60311
"50.10137147, 8.663681933",60327
"50.113531200000004, 8.627868",60486
"50.1162092, 8.672959432999999",60313
"50.15888137, 8.687823833",60435
"50.11428415, 8.68747325",60313
"50.10197933, 8.632528283",60326
"50.1121833, 8.654043883",60308
"50.15795507, 8.654661617",60431
"50.10592738, 8.686344533",60594
"50.1002946, 8.685646400000001",60594
"50.13197879999999, 8.6727242",60322
"50.1086574, 8.690234",60594
"50.10787992, 8.586970333",65934
"50.1369181, 8.743020199999998",60388
"50.1039408, 8.672536099999999",60596
"50.10382043, 8.648146",60326
"50.11241079999999, 8.7537439",63067
"50.1066093, 8.580847383",65934
"50.118329200000005, 8.662254232999999",60325
"50.10719268, 8.667151567000001",60329
"50.1209159, 8.661273417",60323
"50.12030215, 8.6963833",60316
"50.10984667, 8.669093883",60329
"50.117208700000006, 8.6321015",60486
"50.085677399999994, 8.63244935",60528
"50.12543047, 8.706409917",60385
"50.1191805, 8.6780205",60322
"50.12239672, 8.66796555",60322
"50.10123713, 8.631946583",60326
"50.12637715, 8.641180533",60487
"50.10715352, 8.6820087",60594
"50.11308767, 8.649561533",60486
"50.12248387, 8.6756969",60322
"50.138938, 8.6975985",60389
"50.13988538, 8.646932417",60431
"50.10203738, 8.636868567",60326
"50.13193023, 8.673148967000001",60322
"50.121032, 8.707759300000001",60385
"50.10796585, 8.6660767",60329
"50.12212423, 8.667909617000001",60323
"50.09569722, 8.6907004",60598
"50.12512118, 8.686158033",60318
"50.11248488, 8.631064017",60486
"50.12928353, 8.646276817",60487
"50.11479747, 8.693108617",60313
"50.098710600000004, 8.547644900000002",65929
"50.1310248, 8.690791599999999",60318
"50.1133521, 8.7180326",60314
"50.1107386, 8.675331300000002",60311
"50.117046, 8.672832017000001",60322
"50.079857399999995, 8.6414328",60528
"50.114588399999995, 8.685989682999999",60313
"50.10186022, 8.680096117",60596
"50.1101694, 8.687250800000001",60311
"50.11263543, 8.68431235",60311
"50.1508967, 8.67006165",60433
"50.11703955, 8.631896082999999",60486
"50.109791200000004, 8.759555800000001",63065
"50.112591200000004, 8.653572500000001",60308
"50.13347565, 8.671576482999999",60320
"50.11606377, 8.68017375",60313
"50.13130643, 8.6934799",60318
"50.11575497, 8.664898599999999",60325
"50.10311423, 8.69067255",60594
"50.10980423, 8.673578867",60311
"50.1079037, 8.663471533",60329
"50.09424077, 8.670953467",60596
"50.10846137, 8.673234082999999",60311
"50.11422375, 8.691665783",60313
"50.1059507, 8.71561",60314
"50.0939743, 8.6711736",60596
"50.103477500000004, 8.6733229",60596
"50.107513, 8.7026284",60314
"50.10797853, 8.662144300000001",60329
"50.1091644, 8.668676167000001",60329
"50.1167881, 8.6300445",60486
"50.1028605, 8.679953300000001",60594
"50.10781682, 8.702386917",60314
"50.10840562, 8.731635433",63067
"50.1193487, 8.6487061",60486
"50.10767052, 8.665528483",60329
"50.107675, 8.664660000000001",60329
"50.13325633, 8.67200975",60320
"50.1046458, 8.7689506",63065
"50.13337678, 8.695892067",60389
"50.109865899999996, 8.682136900000001",60311
"50.1138166, 8.6793733",60313
"50.12252765, 8.650852432999999",60487
"50.11830432, 8.721719183",60314
"50.1072436, 8.6966067",60594
